D:/Project/Course_Project/Integrated_design_of_computer_systems/minisys/Minisys-TestApp/APP/peripheral_test.c--------------------------------
< #include , include , 0 >
< " , " , 2 >
< ../Driver/digits_driver.c , filename , 3 >
< " , " , 2 >
< #include , include , 0 >
< " , " , 2 >
< ../Driver/led_driver.c , filename , 5 >
< " , " , 2 >
< int , int , 6 >
< WATCHDOG_ADDR , id , 7 >
< = , = , 8 >
< 0xfffffc50 , num , 9 >
< ; , ; , 10 >
< int , int , 6 >
< SWITCH_ADDR , id , 11 >
< = , = , 8 >
< - , - , 12 >
< 0x390 , num , 13 >
< ; , ; , 10 >
< int , int , 6 >
< LED_ADDR , id , 14 >
< = , = , 8 >
< - , - , 12 >
< 0x3a0 , num , 15 >
< ; , ; , 10 >
< int , int , 6 >
< TIMER_ADDR , id , 16 >
< = , = , 8 >
< 0xfffffc20 , num , 17 >
< ; , ; , 10 >
< int , int , 6 >
< KEYBOARD_ADDR , id , 18 >
< = , = , 8 >
< 0xfffffc10 , num , 19 >
< ; , ; , 10 >
< int , int , 6 >
< BUZZER_ADDR , id , 20 >
< = , = , 8 >
< 0xfffffc40 , num , 21 >
< ; , ; , 10 >
< int , int , 6 >
< PWM_ADDR , id , 22 >
< = , = , 8 >
< 0xfffffc30 , num , 23 >
< ; , ; , 10 >
< int , int , 6 >
< Do , id , 24 >
< = , = , 8 >
< 0x12a2f , num , 25 >
< ; , ; , 10 >
< int , int , 6 >
< Rai , id , 26 >
< = , = , 8 >
< 0x109bb , num , 27 >
< ; , ; , 10 >
< int , int , 6 >
< Mi , id , 28 >
< = , = , 8 >
< 0xecbe , num , 29 >
< ; , ; , 10 >
< int , int , 6 >
< Fa , id , 30 >
< = , = , 8 >
< 0xdfda , num , 31 >
< ; , ; , 10 >
< int , int , 6 >
< Sao , id , 32 >
< = , = , 8 >
< 0xc74c , num , 33 >
< ; , ; , 10 >
< int , int , 6 >
< La , id , 34 >
< = , = , 8 >
< 0xb18e , num , 35 >
< ; , ; , 10 >
< int , int , 6 >
< Xi , id , 36 >
< = , = , 8 >
< 0x9e25 , num , 37 >
< ; , ; , 10 >
< int , int , 6 >
< Fibonacci , id , 38 >
< ( , ( , 39 >
< int , int , 6 >
< n , id , 40 >
< ) , ) , 41 >
< { , { , 42 >
< if , if , 44 >
< ( , ( , 39 >
< n , id , 40 >
< == , == , 45 >
< 1 , num , 46 >
< || , || , 47 >
< n , id , 40 >
< == , == , 45 >
< 2 , num , 48 >
< ) , ) , 41 >
< { , { , 42 >
< return , return , 50 >
< 1 , num , 46 >
< ; , ; , 10 >
< } , } , 51 >
< else , else , 52 >
< { , { , 42 >
< return , return , 50 >
< Fibonacci , id , 38 >
< ( , ( , 39 >
< n , id , 40 >
< - , - , 12 >
< 1 , num , 46 >
< ) , ) , 41 >
< + , + , 53 >
< Fibonacci , id , 38 >
< ( , ( , 39 >
< n , id , 40 >
< - , - , 12 >
< 2 , num , 48 >
< ) , ) , 41 >
< ; , ; , 10 >
< } , } , 51 >
< } , } , 51 >
< int , int , 6 >
< main , id , 55 >
< ( , ( , 39 >
< ) , ) , 41 >
< { , { , 42 >
< int , int , 6 >
< counter , id , 57 >
< = , = , 8 >
< 0 , num , 58 >
< ; , ; , 10 >
< while , while , 59 >
< ( , ( , 39 >
< counter , id , 57 >
< < , < , 60 >
< 1250000 , num , 61 >
< ) , ) , 41 >
< { , { , 42 >
< counter , id , 57 >
< = , = , 8 >
< counter , id , 57 >
< + , + , 53 >
< 1 , num , 46 >
< ; , ; , 10 >
< set_mem , set_mem , 63 >
< ( , ( , 39 >
< WATCHDOG_ADDR , id , 7 >
< , , , , 64 >
< 1 , num , 46 >
< ) , ) , 41 >
< ; , ; , 10 >
< } , } , 51 >
< set_mem , set_mem , 63 >
< ( , ( , 39 >
< TIMER_ADDR , id , 16 >
< , , , , 64 >
< 0 , num , 58 >
< ) , ) , 41 >
< ; , ; , 10 >
< set_mem , set_mem , 63 >
< ( , ( , 39 >
< TIMER_ADDR , id , 16 >
< + , + , 53 >
< 4 , num , 65 >
< , , , , 64 >
< 0xffff , num , 66 >
< ) , ) , 41 >
< ; , ; , 10 >
< set_mem , set_mem , 63 >
< ( , ( , 39 >
< PWM_ADDR , id , 22 >
< , , , , 64 >
< 0xfff , num , 68 >
< ) , ) , 41 >
< ; , ; , 10 >
< while , while , 59 >
< ( , ( , 39 >
< true , true , 69 >
